Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,1,PS (I-V),5,Private Unaided (Recognized),29,27,12,1,18,17,14,15,0,0,17,10,0,4,0,29,29,29,29,29,29,1,1,1,1,21,21,0,0,0,29,0,21,28,9,1,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),6,6,4,0,6,6,4,5,0,0,6,6,1,2,0,6,6,6,6,6,6,0,0,0,0,5,5,1,0,0,6,0,5,5,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,4,UPS (VI-VIII),1,Department of Education,13,10,0,0,0,12,8,9,0,0,8,3,0,0,0,13,13,13,13,13,13,6,9,9,9,5,5,0,0,0,9,0,5,10,3,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,4,UPS (VI-VIII),5,Private Unaided (Recognized),1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,5,HSS (VI-XII),1,Department of Education,8,7,2,0,5,8,7,8,0,1,7,4,3,3,1,8,8,8,8,8,8,1,0,1,1,8,8,0,0,0,7,1,7,8,5,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,7,SS (VI-X),1,Department of Education,3,3,1,0,0,3,3,3,0,0,1,0,0,1,0,3,3,3,3,3,3,1,1,1,1,3,3,0,0,0,1,0,1,3,1,0,0,1
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,7,SS (VI-X),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,1,PS (I-V),1,Department of Education,11,11,0,1,0,8,8,9,0,4,5,1,0,0,0,11,11,11,11,11,11,2,1,2,2,9,9,2,2,1,9,0,7,11,4,0,0,7
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,1,PS (I-V),5,Private Unaided (Recognized),4,1,0,1,1,1,1,1,0,0,1,1,0,1,0,4,4,4,4,4,4,0,0,0,0,2,2,0,0,0,2,0,2,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,2,UPS (I-VIII),5,Private Unaided (Recognized),1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
