ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,29,38,36,40,62,49,47,36,0,0,0,0,19,27,32,31,64,33,22,39
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Urban,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,3,3,4,6,5,6,0,2,0,0,0,0,5,5,8,4,3,3,0,1
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,116,106,125,123,74,112,163,119,0,0,0,0,105,108,91,117,115,115,76,115
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,47,45,55,47,65,59,72,16,0,0,0,0,7,27,46,21,23,29,43,38
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,1,General,0,0,0,0,0,0,3,8,17,16,10,14,14,22,0,0,0,0,4,7,12,7,14,20,19,15
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),5,Private Unaided (Recognized),1,General,0,0,0,0,0,0,20,20,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,1,General,19,11,36,18,18,23,8,0,0,0,0,0,0,0,35,19,26,26,18,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,1,General,14,5,22,8,9,11,0,0,0,0,0,0,0,0,13,14,18,13,2,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,1,General,1,1,9,12,10,12,2,0,0,0,0,0,0,0,10,13,11,5,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,1,General,1,2,9,14,10,11,5,0,0,0,0,0,0,0,11,6,7,6,5,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,1,General,9,11,109,92,98,98,21,0,0,0,0,0,0,0,119,98,100,97,21,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,1,cat1,PS (I-V),1,Department of Education,1,General,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,cat1,PS (I-V),1,Department of Education,1,General,2,22,147,94,92,86,30,0,0,0,0,0,0,0,111,125,147,141,30,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,1,cat1,PS (I-V),1,Department of Education,1,General,0,1,2,4,8,7,1,0,0,0,0,0,0,0,10,10,10,26,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,1,cat1,PS (I-V),1,Department of Education,1,General,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,28,28,68,67,48,50,26,0,0,0,0,0,0,0,69,75,51,49,27,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,98,124,140,127,7,0,0,0,0,0,0,0,118,130,130,128,6,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,106,113,108,92,32,0,0,0,0,0,0,0,114,111,99,76,23,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,12,7,9,6,0,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,20,20,26,28,29,6,0,0,0,0,0,0,0,0,27,25,7,8,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,24,21,91,101,103,88,30,0,0,0,0,0,0,0,86,102,84,77,26,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,11,5,23,12,15,14,0,0,0,0,0,0,0,0,32,22,12,13,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,10,11,16,22,6,0,0,0,0,0,0,0,10,16,19,18,4,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,12,14,16,22,0,0,0,0,0,0,0,0,13,15,17,25,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,11,10,56,36,57,37,6,0,0,0,0,0,0,0,47,59,56,33,5,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,24,23,27,18,11,0,0,0,0,0,0,0,20,22,23,21,9,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,1,cat1,PS (I-V),5,Private Unaided (Recognized),1,General,0,0,29,40,30,33,25,0,0,0,0,0,0,0,30,36,31,35,17,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,cat1,PS (I-V),8,Unrecognized,1,General,0,0,6,6,4,1,0,0,0,0,0,0,0,0,5,3,2,5,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,cat1,PS (I-V),92,Kendriya Vidyalaya / Central School,1,General,12,17,21,19,22,25,10,0,0,0,0,0,0,0,18,20,23,24,10,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,6,cat6,SS (I-X),1,Department of Education,1,General,0,0,13,15,13,17,15,18,21,14,0,0,0,0,12,14,14,16,14,19,22,17,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,25,23,24,26,28,31,33,27,14,7,8,5,0,0,28,27,38,32,34,5,13,9,9,7,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,0,0,9,10,8,11,9,7,11,14,31,24,0,0,7,9,6,5,5,6,10,14,21,19,0,0
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Urban,6,cat6,SS (I-X),5,Private Unaided (Recognized),1,General,0,0,3,4,4,3,1,3,5,4,2,5,0,0,4,3,4,2,2,4,6,3,2,5,0,0
