ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2012-13,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,4,OBC,96,78,321,150,160,135,161,141,183,167,130,75,60,30,315,143,139,137,164,142,166,176,125,77,62,51
2012-13,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,4,OBC,18,35,38,30,44,39,76,102,126,135,226,210,353,297,89,66,48,75,135,147,147,146,157,137,127,123
2012-13,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,4,OBC,57,73,271,158,150,152,226,208,210,212,256,170,101,75,309,174,168,151,269,250,282,257,223,167,136,99
2012-13,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,4,OBC,0,6,33,22,19,15,93,76,74,87,132,79,144,123,34,20,34,34,82,77,76,76,96,74,166,141
2012-13,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,4,OBC,21,15,138,78,69,80,101,127,125,121,86,74,53,40,133,78,84,76,98,109,102,105,109,88,50,41
2012-13,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,4,OBC,0,0,2,1,1,5,23,23,24,9,15,9,15,34,1,0,3,1,16,22,17,33,16,14,29,44
2012-13,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,4,OBC,106,110,228,135,132,138,215,195,166,172,176,120,67,38,243,138,135,142,180,176,193,166,182,106,59,62
2012-13,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,1,General,126,120,328,216,265,245,315,340,306,316,250,214,362,253,362,255,266,227,284,251,272,293,298,233,303,210
2012-13,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,General,158,141,764,451,429,413,169,152,168,186,93,65,41,21,721,451,447,382,194,156,180,176,84,64,32,30
2012-13,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,1,General,160,144,342,205,184,149,154,167,193,164,225,196,141,95,308,168,183,174,165,189,189,197,167,181,145,122
2012-13,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,General,238,233,399,298,247,289,121,139,142,148,116,123,84,32,397,241,261,254,123,130,137,155,128,92,78,57
2012-13,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,1,General,55,66,297,195,220,232,152,139,121,112,125,83,33,42,333,215,191,231,171,124,94,105,106,90,42,40
2012-13,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,1,General,134,112,357,187,208,169,104,101,106,112,98,44,53,21,386,212,179,155,84,95,81,110,89,71,41,32
2012-13,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,1,General,97,95,172,125,156,278,294,208,229,249,224,202,202,275,142,87,114,128,208,197,203,201,211,206,192,176
2012-13,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,1,General,109,117,436,243,270,257,189,184,188,197,224,178,56,50,453,211,273,267,185,226,228,209,171,161,60,75
2012-13,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,1,General,9,28,53,32,47,45,74,92,70,80,97,70,91,114,92,85,108,104,119,104,120,102,109,93,115,88
2012-13,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,1,General,24,21,120,64,85,75,85,93,86,82,78,64,46,17,105,65,66,71,64,77,98,80,83,56,41,11
2012-13,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,1,General,1,1,31,20,22,13,8,17,12,17,9,11,18,29,28,16,23,19,25,11,17,16,13,9,15,18
2012-13,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,General,169,164,301,179,209,180,181,182,159,156,145,83,52,38,280,178,176,154,183,168,159,172,88,87,41,51
2012-13,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,2,SC,37,33,117,81,79,82,98,97,71,85,86,56,88,53,139,72,84,87,82,79,88,95,87,48,76,41
2012-13,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,2,SC,39,35,205,131,131,128,82,80,82,59,31,22,10,6,207,152,136,99,105,78,71,90,31,26,6,3
2012-13,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,2,SC,50,36,138,77,80,70,90,63,38,102,80,54,52,52,125,75,72,74,99,56,65,59,51,51,39,51
2012-13,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,2,SC,68,52,97,79,74,50,46,50,54,65,54,43,50,13,104,66,74,71,52,73,67,83,58,33,67,24
2012-13,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,2,SC,10,11,82,91,64,69,54,25,51,31,23,26,12,11,78,64,61,70,42,26,27,40,32,29,4,8
2012-13,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,2,SC,27,25,105,49,44,28,26,30,28,35,23,14,7,7,89,51,55,43,32,32,28,39,33,14,5,7
2012-13,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,2,SC,33,57,80,49,47,48,53,101,98,99,147,123,175,172,92,51,64,71,93,73,80,93,108,68,52,45
2012-13,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,2,SC,45,42,164,88,111,75,75,80,74,75,63,58,40,35,209,92,125,91,88,75,84,85,74,53,46,23
2012-13,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,2,SC,2,4,51,37,49,34,45,32,52,37,44,40,34,28,40,29,38,45,41,35,57,38,42,32,59,36
2012-13,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,2,SC,6,6,59,21,27,36,47,49,53,43,35,19,8,4,49,24,52,44,49,43,50,44,24,15,12,2
2012-13,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,2,SC,1,1,6,3,3,3,6,6,5,7,3,2,6,15,8,9,8,4,5,3,6,7,1,3,3,4
2012-13,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,2,SC,58,50,126,61,53,57,57,54,47,45,37,27,15,11,118,54,75,57,34,49,50,45,43,20,12,8
