ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2012-13,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,3,ST,52,59,148,97,131,125,213,219,199,196,205,178,268,190,210,128,151,146,216,239,239,207,208,135,194,130
2012-13,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,3,ST,191,146,870,583,559,496,339,297,313,298,143,104,91,38,822,580,540,485,291,294,323,333,128,88,70,69
2012-13,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,3,ST,187,156,531,261,304,245,197,177,207,222,165,115,120,53,483,276,249,223,208,169,198,202,104,103,74,60
2012-13,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,3,ST,207,180,297,213,195,192,146,142,143,156,135,104,62,61,282,225,188,191,167,182,201,216,161,113,74,59
2012-13,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,3,ST,113,104,474,263,271,272,181,112,163,140,127,71,39,41,484,267,261,247,176,169,147,128,128,104,40,36
2012-13,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,3,ST,172,127,524,301,253,204,206,185,199,220,167,106,57,60,538,275,213,195,171,180,183,199,169,113,74,59
2012-13,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,3,ST,45,62,73,72,65,96,110,164,163,207,200,149,249,263,56,70,65,76,143,170,190,165,188,143,171,155
2012-13,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,3,ST,98,112,455,239,275,232,256,236,222,235,221,168,105,77,501,272,259,235,287,285,212,227,192,138,82,94
2012-13,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,3,ST,1,7,51,22,23,29,89,90,110,95,111,95,137,128,47,35,41,33,125,70,98,100,108,63,159,126
2012-13,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,3,ST,26,23,206,123,126,111,122,116,114,114,79,69,33,17,209,105,111,116,85,129,129,133,102,73,33,19
2012-13,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,3,ST,1,1,17,12,13,9,26,17,25,22,19,7,21,34,14,11,14,11,24,22,20,40,11,18,33,44
2012-13,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,3,ST,177,178,323,196,199,184,206,183,213,202,158,89,59,49,298,185,180,162,209,171,210,183,159,99,46,60
2012-13,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,4,OBC,29,48,106,87,116,100,189,181,195,213,180,157,259,154,145,113,106,129,233,214,241,222,254,163,180,137
2012-13,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,4,OBC,96,68,535,355,306,290,234,247,240,258,137,107,61,51,455,347,316,280,239,264,263,213,130,91,68,71
2012-13,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,4,OBC,177,150,515,276,274,280,246,218,250,240,175,151,82,71,457,303,252,268,266,213,222,200,183,123,175,67
2012-13,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,OBC,174,166,304,185,177,160,208,207,206,215,189,134,102,81,243,216,172,149,203,214,225,222,188,157,123,78
2012-13,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,4,OBC,91,84,314,191,224,176,155,118,143,111,98,55,23,28,375,187,221,195,119,112,128,109,117,76,27,17
