Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,5,5,0,5,0,3,4,5,5,5,0,0,0,0,1,3,0,2,0,4,2,4,4,2,3,0,5,0,5,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,7,7,0,7,0,2,7,7,7,7,0,0,0,0,1,3,0,2,0,7,1,5,6,2,7,0,7,0,7,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,Boys,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,2,Girls,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,274,270,12,14,13,68,81,267,265,269,0,0,0,0,47,41,0,0,0,238,0,9,80,4,227,3,274,0,252,29,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,23,21,0,10,0,20,12,21,22,22,0,0,0,0,19,17,0,0,0,20,0,7,5,3,17,0,19,0,19,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),8,Unrecognized,Rural,3,Co-Ed,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Urban,3,Co-Ed,2,2,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Urban,3,Co-Ed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,6,4,0,3,0,2,2,3,3,3,0,0,0,0,3,3,0,2,0,3,1,3,2,2,3,1,5,0,4,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,30,30,3,26,4,7,17,28,27,29,0,0,0,0,6,4,0,2,0,30,0,15,17,3,29,0,30,0,14,2,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,2,UPS (I-VIII),1,Department of Education,Rural,3,Co-Ed,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,3,3,0,2,0,3,2,3,3,3,0,0,0,0,3,2,0,0,0,2,1,1,1,1,2,0,1,0,3,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Urban,3,Co-Ed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,4,UPS (VI-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,0,0,0,1,2,2,2,0,0,0,0,1,2,0,0,0,2,0,1,1,1,2,0,2,0,0,0,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,6,6,0,6,2,5,5,6,5,6,0,0,0,0,3,3,0,1,0,5,3,4,3,2,6,0,6,0,6,0,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,128,124,1,15,10,33,47,119,123,123,0,0,0,0,56,10,0,0,0,110,0,10,60,0,104,1,128,0,122,17,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,31,27,1,13,1,21,15,29,29,29,0,0,0,0,20,18,0,0,0,17,0,14,11,5,17,0,27,0,20,1,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,3,3,0,2,0,3,2,3,3,3,0,0,0,0,2,3,0,0,0,2,1,3,0,1,3,0,3,0,3,0,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,17,16,0,13,2,3,12,15,15,15,0,0,0,0,3,1,0,2,0,15,0,6,9,2,16,0,16,0,11,1,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,2,UPS (I-VIII),1,Department of Education,Rural,3,Co-Ed,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
