Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,5,4,0,4,2,4,4,5,5,5,0,0,0,0,1,1,0,1,5,4,0,1,4,2,5,0,3,0,2,0,0
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,4,4,0,4,2,4,2,4,4,4,0,0,0,0,2,4,0,0,0,4,0,4,2,1,4,0,1,0,3,0,0
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,13,8,0,11,2,7,11,13,13,13,0,0,0,0,2,0,0,1,11,12,0,7,4,1,13,0,2,0,4,0,0
2015-16,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,4,UPS (VI-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,Boys,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,2,Girls,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,5,4,0,5,3,4,4,5,5,5,0,0,0,0,1,4,0,1,5,4,2,4,4,1,3,0,2,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,11,HSS (XI-XII),1,Department of Education,Rural,2,Girls,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
