ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2013-14,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,3,ST,227,222,195,175,170,169,217,225,206,222,174,139,83,53,218,167,154,156,212,217,194,213,167,144,69,41
2013-14,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,4,OBC,79,91,90,101,159,125,262,249,251,250,308,241,318,306,144,129,130,131,254,251,251,265,285,253,263,218
2013-14,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,4,OBC,98,106,414,304,337,280,250,251,285,287,196,137,99,50,357,325,265,272,249,287,250,282,178,130,65,74
2013-14,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,4,OBC,322,249,318,276,279,239,290,191,195,192,123,97,97,103,314,248,257,271,227,217,211,200,133,116,71,80
2013-14,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,OBC,185,205,242,231,178,184,192,242,228,253,237,177,190,147,241,196,243,178,286,297,302,337,226,216,147,123
2013-14,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,4,OBC,184,171,193,166,154,172,133,129,145,125,141,106,36,65,212,157,160,173,131,112,112,130,126,89,43,61
2013-14,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,4,OBC,242,239,183,143,168,155,150,167,155,168,160,117,69,64,178,201,149,141,165,151,158,169,170,103,66,67
2013-14,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,4,OBC,38,80,28,43,31,44,59,83,105,85,187,88,190,211,76,80,98,90,142,162,156,138,167,124,179,155
2013-14,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,4,OBC,130,136,182,145,155,134,141,142,158,126,138,140,89,55,178,159,180,159,177,152,179,187,176,169,69,86
2013-14,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,4,OBC,43,40,30,32,37,56,123,100,120,107,136,153,154,158,34,39,42,55,87,109,108,104,123,113,120,122
2013-14,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,4,OBC,17,17,144,85,105,88,99,120,109,101,107,82,59,52,128,93,93,85,100,110,102,104,89,105,56,57
2013-14,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,4,OBC,0,0,6,6,4,4,18,28,18,27,9,14,19,15,9,0,11,2,21,16,21,15,32,13,22,29
2013-14,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,4,OBC,145,128,167,153,117,132,179,198,175,172,177,133,75,65,148,127,142,136,142,176,169,183,177,156,66,54
