ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls
2013-14,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,1,General,298,254,249,247,288,356,512,547,502,435,382,391,409,406,253,211,271,263,301,303,324,293,323,256,308,270
2013-14,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,General,253,269,515,445,404,395,209,140,174,214,132,74,65,45,542,450,413,368,182,184,160,202,118,62,58,51
2013-14,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,1,General,211,231,262,186,196,186,137,130,126,137,114,82,52,62,224,153,180,152,131,147,142,132,125,109,64,45
2013-14,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,General,362,324,285,266,223,231,162,149,177,178,107,111,93,76,299,266,242,240,209,184,230,247,167,134,54,51
2013-14,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,1,General,178,158,171,147,175,149,119,105,105,135,159,103,93,119,197,160,158,139,148,109,112,109,178,119,109,127
2013-14,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,1,General,247,218,163,155,142,159,77,87,102,93,67,77,55,47,162,163,157,144,77,84,91,74,82,51,45,42
2013-14,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,1,General,75,143,37,39,45,58,97,165,178,201,193,128,271,271,141,126,107,154,230,227,253,229,228,179,215,154
2013-14,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,1,General,191,195,227,169,207,211,195,214,202,198,185,185,147,37,231,180,196,183,135,136,139,149,117,105,117,45
2013-14,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,1,General,71,90,79,58,74,129,162,170,195,159,172,143,86,103,91,88,111,147,200,147,152,166,152,141,78,99
2013-14,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,1,General,6,11,142,84,74,93,89,88,74,71,70,58,36,60,107,68,76,78,84,73,65,72,77,44,43,52
2013-14,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,1,General,0,0,18,16,18,16,21,6,13,14,15,8,12,19,19,20,12,17,19,18,15,20,11,11,6,13
2013-14,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,General,224,216,228,185,183,176,195,167,165,148,149,110,42,42,220,170,157,174,172,178,147,148,137,113,46,33
2013-14,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,2,SC,53,61,104,73,82,83,204,169,180,125,218,150,220,246,110,78,76,71,97,81,90,79,115,69,54,62
2013-14,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,2,SC,41,46,181,150,119,115,62,71,75,69,35,31,11,8,193,135,120,131,50,68,78,71,36,29,9,6
2013-14,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,2,SC,88,85,98,66,87,72,49,60,40,37,51,25,21,21,107,60,61,71,60,54,51,41,50,37,10,15
2013-14,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,2,SC,87,68,97,75,93,74,59,66,65,72,66,31,33,30,101,79,73,86,78,95,89,88,49,44,19,25
2013-14,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,2,SC,38,41,54,45,62,54,64,40,42,52,45,18,17,34,55,41,55,60,64,34,51,36,76,22,11,22
2013-14,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,2,SC,51,48,43,39,32,32,23,32,18,30,22,17,18,13,42,30,33,40,23,24,29,25,23,26,18,9
2013-14,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,2,SC,37,75,33,32,43,31,31,81,87,103,121,82,86,71,77,68,72,72,81,87,87,83,90,79,59,52
2013-14,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,2,SC,81,84,114,71,90,85,71,48,67,50,58,30,30,37,133,98,71,97,80,63,56,79,63,52,24,30
2013-14,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,2,SC,27,18,39,39,38,34,35,54,54,56,57,64,49,39,25,30,25,30,56,60,53,70,71,67,26,41
2013-14,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,2,SC,3,2,55,30,31,29,44,45,47,38,29,26,24,9,49,29,32,50,41,50,58,43,41,21,16,25
2013-14,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,2,SC,0,0,3,4,2,4,8,4,7,3,8,2,4,4,3,7,10,5,5,6,2,5,7,1,3,5
2013-14,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,2,SC,62,73,61,63,54,51,72,57,59,56,37,40,29,16,76,53,57,52,61,55,48,63,39,34,32,18
2013-14,19,West Bengal,1901,DARJILING,190137,DARJEELING_MUNICIPALITY,3,ST,110,121,141,120,144,197,333,281,337,320,295,243,357,322,146,148,146,167,228,246,271,256,262,208,284,249
2013-14,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,3,ST,201,187,744,575,486,454,331,340,309,330,165,135,91,60,655,513,489,438,337,280,317,336,169,125,79,73
2013-14,19,West Bengal,1901,DARJILING,190136,GORUBATHAN_BLOCK,3,ST,351,297,311,229,246,251,218,172,177,157,121,79,74,58,251,254,217,213,217,180,151,164,124,76,55,50
2013-14,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,3,ST,249,256,258,204,243,205,211,193,202,197,131,136,116,101,292,247,225,242,236,286,306,276,226,189,125,96
2013-14,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,3,ST,251,241,289,189,217,216,150,128,130,151,168,103,44,66,253,194,237,213,169,118,176,185,180,108,42,61
2013-14,19,West Bengal,1901,DARJILING,190135,KALIMPONG_II_BLOCK,3,ST,295,263,272,243,242,222,180,197,176,203,220,133,77,60,270,226,226,190,159,151,170,185,197,123,69,64
2013-14,19,West Bengal,1901,DARJILING,190138,KALIMPONG_MUNICIPALITY,3,ST,27,89,22,29,37,34,47,95,98,95,114,99,156,223,105,109,104,107,159,167,221,206,215,167,235,191
2013-14,19,West Bengal,1901,DARJILING,190131,KURSEONG_BLOCK,3,ST,273,188,286,211,197,203,165,152,158,149,122,100,75,71,283,221,200,192,165,158,171,196,146,152,61,56
2013-14,19,West Bengal,1901,DARJILING,190139,KURSEONG_MUNICIPALITY,3,ST,48,49,39,35,42,51,97,110,111,144,133,141,160,148,36,37,52,57,90,118,91,138,138,104,95,118
2013-14,19,West Bengal,1901,DARJILING,190132,MIRIK_BLOCK,3,ST,21,18,177,105,119,105,91,103,110,80,77,51,46,42,176,102,98,99,89,103,124,113,88,74,48,54
2013-14,19,West Bengal,1901,DARJILING,190140,MIRIK_MUNICIPALITY,3,ST,0,0,10,11,14,12,13,24,16,24,19,16,19,21,12,14,12,10,15,27,16,25,40,7,24,32
