ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls,caste_name
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,3,HSS (I-XII),4,Government Aided,Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,4,2,3,2,0,2,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,0,0,0,8,9,11,14,20,21,22,26,26,7,4,2,0,2,4,10,5,5,5,13,21,9,7,General
2017-18,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,1,0,0,2,3,5,4,4,2,3,7,12,19,3,7,4,4,1,3,5,3,5,8,6,5,0,2,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,3,HSS (I-XII),5,Private Unaided (Recognized),Urban,1,0,0,11,10,10,12,17,29,16,11,13,7,45,25,47,37,53,48,61,61,62,65,72,74,62,61,General
2017-18,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,3,HSS (I-XII),5,Private Unaided (Recognized),Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,3,HSS (I-XII),5,Private Unaided (Recognized),Urban,1,2,1,6,6,5,5,5,1,6,6,8,6,2,6,6,8,5,4,2,5,8,2,2,0,3,1,General
2017-18,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,8,15,18,36,34,29,31,45,0,0,0,0,8,14,18,14,38,28,38,47,General
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,30,37,38,32,58,45,54,49,0,0,0,0,29,38,50,32,52,54,65,40,General
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,21,26,39,36,40,31,40,43,0,0,0,0,26,26,26,41,48,45,31,33,General
2017-18,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,6,10,20,19,21,24,21,20,0,0,0,0,9,20,14,16,26,28,28,26,General
2017-18,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,8,14,20,17,37,28,29,43,0,0,0,0,55,73,68,69,79,64,34,59,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,5,HSS (VI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,131,169,130,155,164,145,68,162,0,0,0,0,94,122,107,109,109,128,110,91,General
2017-18,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,5,HSS (VI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,9,9,10,8,22,16,27,47,0,0,0,0,32,61,55,51,59,54,44,33,General
2017-18,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,5,HSS (VI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,5,HSS (VI-XII),5,Private Unaided (Recognized),Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,11,HSS (XI-XII),1,Department of Education,Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,4,7,General
2017-18,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,11,HSS (XI-XII),1,Department of Education,Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,44,58,273,191,174,192,13,0,0,0,0,0,0,0,231,185,178,215,26,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,49,56,106,75,73,60,5,0,0,0,0,0,0,0,82,59,58,62,12,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,31,37,157,84,57,75,13,0,0,0,0,0,0,0,117,68,62,75,2,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,7,7,48,37,23,30,5,0,0,0,0,0,0,0,47,31,31,25,6,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,72,76,145,106,98,93,7,0,0,0,0,0,0,0,141,96,91,92,4,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,1,PS (I-V),1,Department of Education,Rural,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Urban,1,1,1,4,4,5,4,0,0,0,0,0,0,0,0,6,4,4,6,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,PS (I-V),1,Department of Education,Urban,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,1,PS (I-V),1,Department of Education,Urban,1,62,68,110,101,88,106,1,0,0,0,0,0,0,0,166,104,117,137,1,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,1,PS (I-V),1,Department of Education,Urban,1,30,17,19,21,24,33,0,0,0,0,0,0,0,0,24,24,24,33,15,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,1,PS (I-V),1,Department of Education,Urban,1,0,0,7,3,7,6,0,0,0,0,0,0,0,0,5,3,7,4,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,17,19,9,11,16,10,6,0,0,0,0,0,0,0,8,5,13,6,5,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,41,43,9,14,11,18,0,0,0,0,0,0,0,0,24,23,17,16,1,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,10,11,5,8,11,7,0,0,0,0,0,0,0,0,2,10,2,7,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,15,11,4,4,4,3,0,0,0,0,0,0,0,0,2,3,3,4,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,1,PS (I-V),5,Private Unaided (Recognized),Rural,1,5,1,4,7,3,11,4,0,0,0,0,0,0,0,3,4,5,4,1,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Urban,1,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,General
2017-18,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,1,PS (I-V),5,Private Unaided (Recognized),Urban,1,65,55,13,13,24,23,0,0,0,0,0,0,0,0,19,19,13,7,3,0,0,0,0,0,0,0,General
