Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2016-17,19,West Bengal,1901,DARJILING,190101,,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190101,,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190101,,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190104,,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190105,,1,PS (I-V),7,Central Govt,Urban,3,Co-Ed,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190111,,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,4,4,0,4,1,2,4,4,4,4,0,0,0,0,1,2,0,0,4,4,1,3,3,1,4,0,0,0,2,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,1,Boys,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,2,Girls,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,275,256,0,13,63,152,85,266,263,269,0,0,0,0,42,38,0,0,163,239,0,9,66,2,227,0,96,0,65,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,22,22,0,11,20,22,12,20,21,21,0,0,0,0,19,17,0,0,0,19,0,6,4,3,17,0,1,0,16,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),8,Unrecognized,Rural,3,Co-Ed,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,1,PS (I-V),1,Department of Education,Urban,3,Co-Ed,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,1,0,2,1,2,1,2,2,0,0,0,2,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,6,4,0,5,1,4,4,5,5,5,0,0,0,0,1,2,0,1,5,6,0,3,4,2,6,0,3,0,3,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,1,0,0,0,1,1,2,2,2,0,0,0,0,0,1,0,0,0,1,0,1,2,1,2,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,1,2,2,1,2,2,2,0,0,0,0,2,1,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,30,25,0,24,5,12,15,28,26,28,0,0,0,0,5,3,0,1,26,29,0,14,14,2,26,0,6,0,9,0,0
2016-17,19,West Bengal,1901,DARJILING,190129,DARJEELING_PULBAZAR_BLOCK,4,UPS (VI-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,4,4,0,4,4,4,4,4,4,4,0,0,0,0,2,3,0,0,4,4,3,3,2,1,4,0,1,0,2,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,127,95,0,11,31,93,41,122,123,123,0,0,0,0,57,8,0,0,83,110,0,9,64,0,104,0,41,0,42,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),4,Government Aided,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,31,27,0,12,21,26,16,29,29,29,0,0,0,0,19,18,0,0,0,17,0,14,10,4,18,0,0,0,19,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,6,SS (I-X),4,Government Aided,Rural,3,Co-Ed,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,6,SS (I-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,1,2,2,2,2,2,2,0,0,0,0,2,1,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0
2016-17,19,West Bengal,1901,DARJILING,190130,RANGLI_RANGLIOT_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,5,4,0,4,2,4,3,5,4,5,0,0,0,0,2,1,0,1,5,4,0,1,5,2,5,0,3,0,2,0,0
